,price,FriendsBldg_Dist,GapstowBridge_Dist,GentooPenguin_Dist,GlenSpanArch_Dist,GreenwichVlg_Dist,GreyHoudiinBus_Dist,GrizzlyBear_Dist,GroveCt_Dist,HangmansElm_Dist,HighLineAcc_Dist,HighLinePk_Dist,HuddlestoneArch_Dist,KayakBrooklin_Dist,LaCasaDeLosT_Dist,LaDeForestHouse_Dist,LePetitV_Dist,LesSkatePark_Dist,LizChristyGarden_Dist,LowLinePark_Dist
HighLineAcc_Dist,-0.15949559736909807,0.7867681898402125,0.6632344740732072,0.6632344740732072,-0.9555192467448475,0.7525661941140636,0.6600012827930468,0.6632344740732072,0.7867681898402125,0.7525727294200443,1.0,1.0,-0.9555192467448473,0.7554350027216415,-0.9547669718181512,0.7525733376931146,0.7544068958800054,0.7553084266545564,0.7517136785266036,0.7537158314942061
HighLinePk_Dist,-0.15949559736909807,0.7867681898402125,0.6632344740732072,0.6632344740732072,-0.9555192467448475,0.7525661941140636,0.6600012827930468,0.6632344740732072,0.7867681898402125,0.7525727294200443,1.0,1.0,-0.9555192467448473,0.7554350027216415,-0.9547669718181512,0.7525733376931146,0.7544068958800054,0.7553084266545564,0.7517136785266036,0.7537158314942061
HuddlestoneArch_Dist,0.15212296085318247,-0.7845424209223752,-0.6703930273001959,-0.6703930273001959,1.0,-0.7517452118567121,-0.6671249389017813,-0.6703930273001959,-0.7845424209223752,-0.7517517400332598,-0.9555192467448473,-0.9555192467448473,1.0,-0.7546108908512607,0.9988363799641784,-0.7517523476427587,-0.7535839055820287,-0.7544844528673185,-0.7508936262873381,-0.7528935950855269
KayakBrooklin_Dist,-0.1451972000486911,0.553102735871594,0.31995876428746806,0.31995876428746806,-0.7546108908512607,0.9962024415108615,0.31839900235236857,0.31995876428746806,0.553102735871594,0.9962110925608622,0.7554350027216415,0.7554350027216415,-0.7546108908512607,1.0,-0.7540167899427408,0.9962118977566342,0.9986390532104918,0.9998324461182907,0.9950739319972852,0.9977242632109424
LaCasaDeLosT_Dist,0.15264272152257263,-0.7839247550886413,-0.6698652306417948,-0.6698652306417948,0.9988363799641784,-0.7511533670811408,-0.6665997151909882,-0.6698652306417948,-0.7839247550886413,-0.7511598901180919,-0.9547669718181512,-0.9547669718181512,0.9988363799641784,-0.7540167899427408,1.0,-0.7511604972492232,-0.752990613213233,-0.753890451502712,-0.7503024519602942,-0.752300846194301
LaDeForestHouse_Dist,-0.1454295822846819,0.5510075261570271,0.31874672777468616,0.31874672777468616,-0.7517523476427587,0.9999905077967908,0.3171928743772721,0.31874672777468616,0.5510075261570271,0.9999991917424657,0.7525733376931146,0.7525733376931146,-0.7517523476427587,0.9962118977566342,-0.7511604972492232,1.0,0.9945995331121757,0.9960140879688184,0.9902753886697309,0.9935034905610521
LePetitV_Dist,-0.14484798074154373,0.5523499924789413,0.319523317434436,0.319523317434436,-0.7535839055820287,0.9945900921712959,0.3179656782523345,0.319523317434436,0.5523499924789413,0.9945987292196097,0.7544068958800054,0.7544068958800054,-0.7535839055820287,0.9986390532104918,-0.752990613213233,0.9945995331121757,1.0,0.9984614054011098,0.9933758197173101,0.996218958149734
LesSkatePark_Dist,-0.14502522556681474,0.5530100613612147,0.3199051539545248,0.3199051539545248,-0.7544844528673185,0.9960046336006964,0.31834565336359205,0.3199051539545248,0.5530100613612147,0.9960132829329277,0.7553084266545564,0.7553084266545564,-0.7544844528673185,0.9998324461182907,-0.753890451502712,0.9960140879688184,0.9984614054011098,1.0,0.9948658026732369,0.9975393374658126
LizChristyGarden_Dist,-0.1441294449079212,0.550378114182203,0.31838262565652337,0.31838262565652337,-0.7508936262873381,0.9902659887745087,0.31683054721478426,0.31838262565652337,0.550378114182203,0.9902745882721872,0.7517136785266036,0.7517136785266036,-0.7508936262873381,0.9950739319972852,-0.7503024519602942,0.9902753886697309,0.9933758197173101,0.9948658026732369,1.0,0.9922179698585708
LowLinePark_Dist,-0.14438372720358833,0.5518440196274427,0.31923062235659766,0.31923062235659766,-0.7528935950855269,0.9934940600240307,0.31767441002911606,0.31923062235659766,0.5518440196274427,0.9935026875543705,0.7537158314942061,0.7537158314942061,-0.7528935950855269,0.9977242632109424,-0.752300846194301,0.9935034905610521,0.996218958149734,0.9975393374658126,0.9922179698585708,1.0
