,price,ChinaTown_Dist,CircleLnFerry_Dist,ClassicCarClub_Dist,CocktailK_dist,Colonnade_Dist,ColorFactory_Dist,CortlandtAlley_Dist,CoveLedZepp_Dist,CurryHill_Dist,DelacorteMusic_Dist,DiamondDistrict_Dist,DreamHouse_Dist,DrNevilles_Dist,EmpireStateBldg_Dist,ExploreChinaTKiosk_Dist,Flatiron_Dist,FoodTruckStreet_Dist,FreeKayaking_Dist,FreePublicStarG_Dist
DelacorteMusic_Dist,-0.12625590012118768,0.31938699677958227,0.9814031438126385,0.6632607283400574,0.9886071065350209,0.3175062483233383,0.3876055749673775,0.31938711185138025,0.3175279541572705,0.9883867777896703,1.0,0.9951024274433775,0.3872652866299607,0.31875561882430475,0.9886008812897479,0.31938643786118986,0.9884036112776551,0.9951033693457181,0.6886435704186068,0.6632374476179507
DiamondDistrict_Dist,-0.12484550785424138,0.31950825150377893,0.9818279682646597,0.6635125341352095,0.9890100686532427,0.31762678902461716,0.3877527287574931,0.3195083666192637,0.31764850309913184,0.9887903311279013,0.9951024274433775,1.0,0.38741231123019404,0.31887663384694626,0.9890038408705226,0.3195076923731941,0.9888071714889144,0.9999990534628163,0.6889050127661125,0.6634892445746168
DreamHouse_Dist,-0.15746310902512792,0.5527402735736238,0.3821991312536113,0.7876913319423762,0.3849384558426847,0.5494853964912456,0.9968827349914572,0.5527404727201694,0.5495229612284039,0.38485447011947027,0.3872652866299607,0.38741231123019404,1.0,0.551647592821911,0.38493603189055364,0.5527393062934646,0.38486102468216193,0.38741267793069906,0.8068141796683385,0.7876636836553281
DrNevilles_Dist,-0.14324223237851968,0.9941197897944996,0.3145856982354983,0.7526241213990127,0.31684041905529914,0.9868481455808819,0.552132323182938,0.9941201479654732,0.9869156099601731,0.3167712909353776,0.31875561882430475,0.31887663384694626,0.551647592821911,1.0,0.3168384239155636,0.9941180501124199,0.31677668595465514,0.3188769356758228,0.7722393282468618,0.7525977039853586
EmpireStateBldg_Dist,-0.13093354366904095,0.3174660043704055,0.9746501606141939,0.6592714650410082,0.9999883646565157,0.3155965679072747,0.38527427352187504,0.31746611875008995,0.31561814318879666,0.9819811582025574,0.9886008812897479,0.9890038408705226,0.38493603189055364,0.3168384239155636,1.0,0.31746544881369654,0.9819978825946671,0.9890047770003187,0.684501638891208,0.6592483243436705
ExploreChinaTKiosk_Dist,-0.14480864459963488,0.9999975088623348,0.31520826497772764,0.7541135684718159,0.3174674479018241,0.9897702995811902,0.5532249959384115,0.9999978897389241,0.9898379637291154,0.31739818297699157,0.31938643786118986,0.3195076923731941,0.5527393062934646,0.9941180501124199,0.31746544881369654,1.0,0.3174035886730405,0.3195079947993917,0.7737675939166131,0.7540870987779619
Flatiron_Dist,-0.13000275773234723,0.3174041441214957,0.9744305910764233,0.6591430018469493,0.982004066260687,0.315535071929825,0.38519920040497274,0.3174042584788926,0.31555664300726755,0.9999815571346685,0.9884036112776551,0.9888071714889144,0.38486102468216193,0.31677668595465514,0.9819978825946671,0.3174035886730405,1.0,0.9888081074325553,0.6843682594389894,0.659119865658722
FoodTruckStreet_Dist,-0.12484554330223803,0.3195085539305057,0.9818288976022191,0.6635131621750893,0.9890110047889337,0.31762708967046804,0.3877530957802163,0.3195086690460994,0.31764880376553595,0.9887912670556023,0.9951033693457181,0.9999990534628163,0.38741267793069906,0.3188769356758228,0.9890047770003187,0.3195079947993917,0.9888081074325553,1.0,0.6889056648409404,0.6634898725924521
FreeKayaking_Dist,-0.15224449733052445,0.7737689479908266,0.6796348225470263,0.9815708195439583,0.6845059492157006,0.7692125171746165,0.8075231238089116,0.7737692267716942,0.7692651032236928,0.6843566039728002,0.6886435704186068,0.6889050127661125,0.8068141796683385,0.7722393282468618,0.684501638891208,0.7737675939166131,0.6843682594389894,0.6889056648409404,1.0,0.9815363660078125
FreePublicStarG_Dist,-0.15950169377322337,0.7540884184117941,0.6545610594234764,0.999964899592103,0.6592524756473893,0.7496478787433046,0.7883558003376344,0.7540886901019725,0.7496991272854973,0.659108640197572,0.6632374476179507,0.6634892445746168,0.7876636836553281,0.7525977039853586,0.6592483243436705,0.7540870987779619,0.659119865658722,0.6634898725924521,0.9815363660078125,1.0
